Año,2010,2011,2012,2013,2014,2015,2016,2017,2018
Estado,6010466289,6345507105,7504781857,9135752790,11203988762,12134032541,13226219713,13748525546,14857224344
Puebla,4531401383,4872823746,5662437103,6927919771,8694584787,9487918906,9999542058,10358462534,11143397925
Tehuacán,289715276,297460349,312674101,346594901,396874319,496996590,602794723,715892074,718983406
Teziutlán,128850457,123871428,103360767,111602146,126846368,131410655,136466579,168283173,169902214
Izúcar de Matamoros,65952483,64945831,60788148,65268048,74358121,79730411,111277598,107706684,107924228
San Martín Texmelucan,72881741,78359672,76007208,86356742,90724725,108176644,118758096,116174519,126013711
Pueblos Mágicos,642300234,623158894,897349891,1184163755,1396166167,1467709061,1772547141,1811044707,2082955636
Atlixco,125945112,120629085,173758374,209436631,240398416,253615194,372417567,366590626,344025326
Huauchinango,80685290,62712344,98092360,120221797,141487660,151291086,198309817,127790747,167850858
Cuetzalan del Progreso,72490855,65292189,93865517,118305246,142672780,145000697,171940696,198754637,232775435
Cholula,206012805,218995077,251646738,332778645,418403257,425702786,463832787,454712330,594241025
Xicotepec,47163933,35975026,45482065,64480415,89280894,93239242,120353766,108965414,118816363
Chignahuapan,30182671,36449584,60316238,91730821,101750983,117290073,147752013,199677553,275209999
Zacatlán,79819568,83105589,174188599,215286037,227500395,244713353,246518379,304420383,297327378
Pahuatlán,ND,ND,ND,8909476,11024858,12308075,20248948,18606937,19917354
Tlatlauquitepec,ND,ND,ND,23014687,23646924,24548555,31173168,31526080,32791898
Resto del Estado,279364713,284887184,392164639,413847429,424434275,362090274,484833518,470961854,508047225
